Index,Alphabet,Link,ScrapeStatus
0,a,https://www.hindigeetmala.net/singer/asha_bhosle.php,Done
2,a,https://www.hindigeetmala.net/singer/alka_yagnik.php,Done
4,a,https://www.hindigeetmala.net/singer/anuradha_paudwal.php,Done
6,a,https://www.hindigeetmala.net/singer/amit_kumar.php,Done
8,a,https://www.hindigeetmala.net/singer/abhijeet.php,Done
10,a,https://www.hindigeetmala.net/singer/arijit_singh.php,Done
12,a,https://www.hindigeetmala.net/singer/alisha_chinai.php,Done
14,a,https://www.hindigeetmala.net/singer/amirbai_karnataki.php,Done
16,a,https://www.hindigeetmala.net/singer/ali_haider.php,Done
18,a,https://www.hindigeetmala.net/singer/adnan_sami.php,Done
20,a,https://www.hindigeetmala.net/singer/anu_malik.php,Done
22,a,https://www.hindigeetmala.net/singer/anup_jalota.php,Done
24,a,https://www.hindigeetmala.net/singer/altaf_raja.php,Done
26,a,https://www.hindigeetmala.net/singer/atif_aslam.php,Done
28,a,https://www.hindigeetmala.net/singer/anushka_manchanda.php,Done
30,a,https://www.hindigeetmala.net/singer/anwar.php,Done
32,a,https://www.hindigeetmala.net/singer/anand_raj_anand.php,Done
34,a,https://www.hindigeetmala.net/singer/armaan_malik.php,Done
36,a,https://www.hindigeetmala.net/singer/aarti_mukherjee.php,Done
38,a,https://www.hindigeetmala.net/singer/a_r_rahman.php,Done
40,a,https://www.hindigeetmala.net/singer/ankit_tiwari.php,Done
42,a,https://www.hindigeetmala.net/singer/amitabh_bachchan.php,Done
44,a,https://www.hindigeetmala.net/singer/ashok_kumar.php,Done
46,a,https://www.hindigeetmala.net/singer/anupama_deshpande.php,Done
48,a,https://www.hindigeetmala.net/singer/aditi_singh_sharma.php,Done
50,a,https://www.hindigeetmala.net/singer/amit_trivedi.php,Done
52,a,https://www.hindigeetmala.net/singer/ali_zafar.php,Done
54,a,https://www.hindigeetmala.net/singer/arun_kumar.php,Done
56,a,https://www.hindigeetmala.net/singer/anuradha_sriram.php,Done
58,a,https://www.hindigeetmala.net/singer/altamash_faridi.php,Done
60,a,https://www.hindigeetmala.net/singer/asees_kaur.php,Done
62,a,https://www.hindigeetmala.net/singer/aditya_narayan.php,Done
64,a,https://www.hindigeetmala.net/singer/ash_king.php,Done
66,a,https://www.hindigeetmala.net/singer/amit_mishra.php,Done
68,a,https://www.hindigeetmala.net/singer/anil_biswas.php,Done
70,a,https://www.hindigeetmala.net/singer/aadesh_shrivastava.php,Done
72,a,https://www.hindigeetmala.net/singer/aman_trikha.php,Done
74,a,https://www.hindigeetmala.net/singer/antara_mitra.php,Done
76,a,https://www.hindigeetmala.net/singer/abhijeet_sawant.php,Done
78,a,https://www.hindigeetmala.net/singer/akriti_kakkar.php,Done
80,a,https://www.hindigeetmala.net/singer/agam_kumar_nigam.php,Done
82,a,https://www.hindigeetmala.net/singer/ankur_tewari.php,Done
84,a,https://www.hindigeetmala.net/singer/a_r_ojha.php,Done
86,a,https://www.hindigeetmala.net/singer/abhishek_nailwal.php,Done
88,a,https://www.hindigeetmala.net/singer/arun_daga.php,Done
90,a,https://www.hindigeetmala.net/singer/aziz_nazan.php,Done
92,a,https://www.hindigeetmala.net/singer/amitabh_bhattacharya.php,Done
94,a,https://www.hindigeetmala.net/singer/amit_kilam.php,Done
96,a,https://www.hindigeetmala.net/singer/akriti_kakar.php,Done
98,a,https://www.hindigeetmala.net/singer/abida_parveen.php,Done
100,a,https://www.hindigeetmala.net/singer/apeksha_dandekar.php,Done
102,a,https://www.hindigeetmala.net/singer/anand_kumar_c.php,Done
104,a,https://www.hindigeetmala.net/singer/anmol_malik.php,Done
106,a,https://www.hindigeetmala.net/singer/anupam_amod.php,Done
108,a,https://www.hindigeetmala.net/singer/anusha_mani.php,Done
110,a,https://www.hindigeetmala.net/singer/asit_baran.php,Done
112,a,https://www.hindigeetmala.net/singer/amrita_kak.php,Done
114,a,https://www.hindigeetmala.net/singer/aarti_mukherji.php,Done
116,a,https://www.hindigeetmala.net/singer/ashwin_srinivasan.php,Done
118,a,https://www.hindigeetmala.net/singer/aroon_bakshi.php,Done
120,a,https://www.hindigeetmala.net/singer/ayushmann_khurrana.php,Done
122,a,https://www.hindigeetmala.net/singer/aishwarya_nigam.php,Done
124,a,https://www.hindigeetmala.net/singer/apache_indian.php,Done
126,a,https://www.hindigeetmala.net/singer/asheem_chakravarty.php,Done
128,a,https://www.hindigeetmala.net/singer/ajit_singh.php,Done
130,a,https://www.hindigeetmala.net/singer/amit_yadav.php,Done
132,a,https://www.hindigeetmala.net/singer/annette_pinto.php,Done
134,a,https://www.hindigeetmala.net/singer/arjun.php,Done
136,a,https://www.hindigeetmala.net/singer/alam_gir_khan.php,Done
138,a,https://www.hindigeetmala.net/singer/alyssa_mendonsa.php,Done
140,a,https://www.hindigeetmala.net/singer/amar.php,Done
142,a,https://www.hindigeetmala.net/singer/antara_chowdhury.php,Done
144,a,https://www.hindigeetmala.net/singer/arun_bakshi.php,Done
146,a,https://www.hindigeetmala.net/singer/abhishek_ray.php,Done
148,a,https://www.hindigeetmala.net/singer/aditi_paul.php,Done
150,a,https://www.hindigeetmala.net/singer/ashok_khosla.php,Done
152,a,https://www.hindigeetmala.net/singer/aasma.php,Done
154,a,https://www.hindigeetmala.net/singer/ajay_jhingran.php,Done
156,a,https://www.hindigeetmala.net/singer/anchal_datta_bhatia.php,Done
158,a,https://www.hindigeetmala.net/singer/arjun_kanungo.php,Done
160,a,https://www.hindigeetmala.net/singer/arpita_mukherjee.php,Done
162,a,https://www.hindigeetmala.net/singer/ashima_bannerjee.php,Done
164,a,https://www.hindigeetmala.net/singer/abhijeet_bhattacharya.php,Done
166,a,https://www.hindigeetmala.net/singer/afzal_lahori.php,Done
168,a,https://www.hindigeetmala.net/singer/ambar_kumar.php,Done
170,a,https://www.hindigeetmala.net/singer/amrinder_gill.php,Done
172,a,https://www.hindigeetmala.net/singer/arko_pravo_mukherjee.php,Done
174,a,https://www.hindigeetmala.net/singer/aamir_khan.php,Done
176,a,https://www.hindigeetmala.net/singer/ali_abbas.php,Done
178,a,https://www.hindigeetmala.net/singer/amit_sana.php,Done
180,a,https://www.hindigeetmala.net/singer/anamika.php,Done
182,a,https://www.hindigeetmala.net/singer/anweshaa.php,Done
184,a,https://www.hindigeetmala.net/singer/arnab_chakravorty.php,Done
186,a,https://www.hindigeetmala.net/singer/arun_ingle.php,Done
188,a,https://www.hindigeetmala.net/singer/arya.php,Done
190,a,https://www.hindigeetmala.net/singer/a_band_of_boys.php,Done
192,a,https://www.hindigeetmala.net/singer/aarti_ankalikar.php,Done
194,a,https://www.hindigeetmala.net/singer/abhishek_bachchan.php,Done
